iter	Passed	Remaining
442	1071	1347
443	1072	1342
444	1073	1338
445	1073	1333
446	1074	1329
447	1075	1325
448	1076	1320
449	1077	1316
450	1078	1312
451	1079	1308
452	1080	1304
453	1081	1300
454	1082	1296
455	1083	1292
456	1083	1287
457	1084	1283
458	1085	1279
459	1086	1274
460	1086	1270
461	1087	1266
462	1088	1262
463	1089	1258
464	1089	1253
465	1090	1249
466	1091	1245
467	1092	1241
468	1092	1237
469	1093	1233
470	1094	1228
471	1094	1224
472	1095	1220
473	1096	1216
474	1097	1212
475	1097	1208
476	1098	1204
477	1099	1200
478	1099	1196
479	1100	1192
480	1101	1188
481	1102	1184
482	1102	1180
483	1103	1176
484	1104	1172
485	1105	1168
486	1105	1164
487	1106	1161
488	1107	1157
489	1108	1153
490	1109	1149
491	1109	1145
492	1110	1142
493	1111	1138
494	1112	1134
495	1113	1131
496	1113	1127
497	1114	1123
498	1115	1119
499	1116	1116
500	1116	1112
501	1117	1108
502	1118	1105
503	1119	1101
504	1119	1097
505	1120	1094
506	1121	1090
507	1122	1086
508	1122	1083
509	1123	1079
510	1124	1075
511	1125	1072
512	1125	1068
513	1126	1065
514	1127	1061
515	1127	1058
516	1128	1054
517	1129	1050
518	1130	1047
519	1131	1044
520	1131	1040
521	1132	1036
522	1133	1033
523	1133	1030
524	1134	1026
525	1135	1023
526	1136	1019
527	1137	1016
528	1137	1013
529	1138	1009
530	1139	1006
531	1140	1003
532	1140	999
533	1141	996
534	1142	992
535	1143	989
536	1143	986
537	1144	982
538	1145	979
539	1146	976
540	1146	973
541	1147	969
542	1148	966
543	1149	963
544	1149	960
545	1150	956
546	1151	953
547	1152	950
548	1152	947
549	1153	943
550	1154	940
551	1155	937
552	1155	934
553	1156	931
554	1157	927
555	1158	924
556	1158	921
557	1159	918
558	1160	915
559	1160	912
560	1161	909
561	1162	905
562	1163	902
563	1163	899
564	1164	896
565	1165	893
566	1166	890
567	1166	887
568	1167	884
569	1168	881
570	1168	878
571	1169	875
572	1170	872
573	1171	869
574	1171	866
575	1172	863
576	1173	860
577	1174	857
578	1174	854
579	1175	851
580	1176	848
581	1177	845
582	1177	842
583	1178	839
584	1179	836
585	1180	833
586	1180	830
587	1181	827
588	1182	825
589	1183	822
590	1183	819
591	1184	816
592	1185	813
593	1185	810
594	1186	807
595	1187	804
596	1188	802
597	1188	799
598	1189	796
599	1190	793
600	1191	790
601	1191	788
602	1192	785
603	1193	782
604	1194	779
605	1195	776
606	1195	774
607	1196	771
608	1197	768
609	1197	765
610	1198	763
611	1199	760
612	1200	757
613	1200	755
614	1201	752
615	1202	749
616	1203	746
617	1204	744
618	1204	741
619	1205	738
620	1206	736
621	1207	733
622	1207	730
623	1208	728
624	1209	725
625	1210	722
626	1210	720
627	1211	717
628	1212	714
629	1212	712
630	1213	709
631	1214	707
632	1214	704
633	1215	701
634	1216	699
635	1217	696
636	1217	694
637	1218	691
638	1219	688
639	1220	686
640	1220	683
641	1221	681
642	1222	678
643	1223	676
644	1223	673
645	1224	671
646	1225	668
647	1226	666
648	1226	663
649	1227	660
650	1228	658
651	1228	655
652	1229	653
653	1230	650
654	1231	648
655	1231	646
656	1232	643
657	1233	641
658	1234	638
659	1234	636
660	1235	633
661	1236	631
662	1237	628
663	1237	626
664	1238	623
665	1239	621
666	1240	619
667	1240	616
668	1241	614
669	1242	611
670	1242	609
671	1243	607
672	1244	604
673	1245	602
674	1245	599
675	1246	597
676	1247	595
677	1248	592
678	1249	590
679	1249	588
680	1250	585
681	1251	583
682	1251	581
683	1252	578
684	1253	576
685	1254	574
686	1254	571
687	1255	569
688	1256	567
689	1257	564
690	1257	562
691	1258	560
692	1259	557
693	1260	555
694	1260	553
695	1261	551
696	1262	548
697	1263	546
698	1263	544
699	1264	541
700	1265	539
701	1266	537
702	1266	535
703	1267	532
704	1268	530
705	1268	528
706	1269	526
707	1270	523
708	1270	521
709	1271	519
710	1272	517
711	1273	515
712	1273	512
713	1274	510
714	1275	508
715	1276	506
716	1276	503
717	1277	501
718	1278	499
719	1279	497
720	1279	495
721	1280	493
722	1281	490
723	1282	488
724	1282	486
725	1283	484
726	1284	482
727	1285	480
728	1285	477
729	1286	475
730	1287	473
731	1288	471
732	1288	469
733	1289	467
734	1290	465
735	1291	463
736	1291	460
737	1292	458
738	1293	456
739	1294	454
740	1294	452
741	1295	450
742	1296	448
743	1296	446
744	1297	444
745	1298	442
746	1299	440
747	1299	437
748	1300	435
749	1301	433
750	1302	431
751	1302	429
752	1303	427
753	1304	425
754	1305	423
755	1306	421
756	1306	419
757	1307	417
758	1308	415
759	1309	413
760	1309	411
761	1310	409
762	1311	407
763	1312	405
764	1312	403
765	1313	401
766	1314	399
767	1315	397
768	1315	395
769	1316	393
770	1317	391
771	1317	389
772	1318	387
773	1319	385
774	1320	383
775	1320	381
776	1321	379
777	1322	377
778	1323	375
779	1323	373
780	1324	371
781	1325	369
782	1326	367
783	1326	365
784	1327	363
785	1328	361
786	1329	359
787	1329	357
788	1330	355
789	1331	353
790	1332	352
791	1333	350
792	1333	348
793	1334	346
794	1335	344
795	1335	342
796	1336	340
797	1337	338
798	1338	336
799	1338	334
800	1339	332
801	1340	330
802	1341	329
803	1341	327
804	1342	325
805	1343	323
806	1344	321
807	1344	319
808	1345	317
809	1346	315
810	1347	313
811	1347	312
812	1348	310
813	1349	308
814	1349	306
815	1350	304
816	1351	302
817	1352	300
818	1352	298
819	1353	297
820	1354	295
821	1354	293
822	1355	291
823	1356	289
824	1357	287
825	1358	286
826	1359	284
827	1359	282
828	1360	280
829	1361	278
830	1362	277
831	1362	275
832	1363	273
833	1364	271
834	1365	269
835	1365	267
836	1366	266
837	1367	264
838	1367	262
839	1368	260
840	1369	258
841	1370	257
842	1371	255
843	1371	253
844	1372	251
845	1373	249
846	1374	248
847	1374	246
848	1375	244
849	1376	242
850	1376	241
851	1377	239
852	1378	237
853	1379	235
854	1379	234
855	1380	232
856	1381	230
857	1382	228
858	1382	227
859	1383	225
860	1384	223
861	1385	221
862	1385	220
863	1386	218
864	1387	216
865	1388	214
866	1388	213
867	1389	211
868	1390	209
869	1391	207
870	1391	206
871	1392	204
872	1393	202
873	1394	200
874	1394	199
875	1395	197
876	1396	195
877	1397	194
878	1397	192
879	1398	190
880	1399	189
881	1400	187
882	1400	185
883	1401	183
884	1402	182
885	1403	180
886	1403	178
887	1404	177
888	1405	175
889	1406	173
890	1406	172
891	1407	170
892	1408	168
893	1409	167
894	1409	165
895	1410	163
896	1411	162
897	1412	160
898	1412	158
899	1413	157
900	1414	155
901	1415	153
902	1415	152
903	1416	150
904	1417	148
905	1417	147
906	1418	145
907	1419	143
908	1420	142
909	1420	140
910	1421	138
911	1422	137
912	1423	135
913	1423	133
914	1424	132
915	1425	130
916	1426	129
917	1426	127
918	1427	125
919	1428	124
920	1429	122
921	1429	120
922	1430	119
923	1431	117
924	1432	116
925	1433	114
926	1433	112
927	1434	111
928	1435	109
929	1436	108
930	1436	106
931	1437	104
932	1438	103
933	1439	101
934	1439	100
935	1440	98
936	1441	96
937	1441	95
938	1442	93
939	1443	92
940	1444	90
941	1444	88
942	1445	87
943	1446	85
944	1447	84
945	1447	82
946	1448	81
947	1449	79
948	1450	77
949	1450	76
950	1451	74
951	1452	73
952	1453	71
953	1453	70
954	1454	68
955	1455	66
956	1456	65
957	1456	63
958	1457	62
959	1458	60
960	1459	59
961	1459	57
962	1460	56
963	1461	54
964	1461	53
965	1462	51
966	1463	49
967	1464	48
968	1464	46
969	1465	45
970	1466	43
971	1466	42
972	1467	40
973	1468	39
974	1469	37
975	1469	36
976	1470	34
977	1471	33
978	1472	31
979	1472	30
980	1473	28
981	1474	27
982	1474	25
983	1475	23
984	1476	22
985	1477	20
986	1477	19
987	1478	17
988	1479	16
989	1480	14
990	1480	13
991	1481	11
992	1482	10
993	1482	8
994	1483	7
995	1484	5
996	1485	4
997	1485	2
998	1486	1
999	1487	0
